STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,X,Y,geometry
51,87,200108,1400000US51087200108,51087200108,2001.08,Census Tract 2001.08,VA,Henrico County,Virginia,CT,16578911,3095556,-77.59336363,37.56692279,POINT (-77.5933636295779 37.56692279305806)
51,87,201001,1400000US51087201001,51087201001,2010.01,Census Tract 2010.01,VA,Henrico County,Virginia,CT,14550060,464830,-77.38063857,37.58368851,POINT (-77.38063857442846 37.583688509869)
51,41,100823,1400000US51041100823,51041100823,1008.23,Census Tract 1008.23,VA,Chesterfield County,Virginia,CT,10379556,126930,-77.47619773,37.36556589,POINT (-77.47619773485667 37.36556589407854)
51,85,320602,1400000US51085320602,51085320602,3206.02,Census Tract 3206.02,VA,Hanover County,Virginia,CT,8598106,1774,-77.47318377,37.74416695,POINT (-77.4731837664395 37.74416694826194)
51,41,100106,1400000US51041100106,51041100106,1001.06,Census Tract 1001.06,VA,Chesterfield County,Virginia,CT,5609552,40874,-77.54703564,37.51851129,POINT (-77.54703563996323 37.51851128523234)
51,760,10900,1400000US51760010900,51760010900,109,Census Tract 109,VA,Richmond city,Virginia,CT,1763623,0,-77.41765284,37.56396963,POINT (-77.41765283918524 37.56396963003078)
51,760,41100,1400000US51760041100,51760041100,411,Census Tract 411,VA,Richmond city,Virginia,CT,874023,0,-77.46668641,37.54860048,POINT (-77.4666864096468 37.54860047643447)
51,41,101011,1400000US51041101011,51041101011,1010.11,Census Tract 1010.11,VA,Chesterfield County,Virginia,CT,2581808,0,-77.65534393,37.3946593,POINT (-77.6553439341235 37.39465929760114)
51,87,200137,1400000US51087200137,51087200137,2001.37,Census Tract 2001.37,VA,Henrico County,Virginia,CT,1083913,2555,-77.58334569,37.61247448,POINT (-77.58334568563653 37.6124744832065)
51,760,70700,1400000US51760070700,51760070700,707,Census Tract 707,VA,Richmond city,Virginia,CT,4555459,0,-77.50872833,37.49152382,POINT (-77.50872832691527 37.491523824369565)
51,87,200142,1400000US51087200142,51087200142,2001.42,Census Tract 2001.42,VA,Henrico County,Virginia,CT,2196655,893,-77.62292089,37.63989342,POINT (-77.62292089342688 37.63989342003453)
51,127,700301,1400000US51127700301,51127700301,7003.01,Census Tract 7003.01,VA,New Kent County,Virginia,CT,113031075,8894219,-76.96241525,37.44593983,POINT (-76.96241524849484 37.4459398346653)
51,87,200302,1400000US51087200302,51087200302,2003.02,Census Tract 2003.02,VA,Henrico County,Virginia,CT,2441640,6199,-77.5175129,37.58983732,POINT (-77.51751290188966 37.589837317692414)
51,760,30200,1400000US51760030200,51760030200,302,Census Tract 302,VA,Richmond city,Virginia,CT,1311450,0,-77.43607585,37.54572968,POINT (-77.43607584835716 37.54572967909836)
51,760,10600,1400000US51760010600,51760010600,106,Census Tract 106,VA,Richmond city,Virginia,CT,897082,0,-77.44178703,37.57199039,POINT (-77.44178702645542 37.57199038537702)
51,127,700200,1400000US51127700200,51127700200,7002,Census Tract 7002,VA,New Kent County,Virginia,CT,135237223,3446975,-77.0683817,37.51758466,POINT (-77.06838169811662 37.51758466362566)
51,41,100816,1400000US51041100816,51041100816,1008.16,Census Tract 1008.16,VA,Chesterfield County,Virginia,CT,4328452,33784,-77.47119828,37.38550877,POINT (-77.47119827623409 37.38550876878678)
51,41,100505,1400000US51041100505,51041100505,1005.05,Census Tract 1005.05,VA,Chesterfield County,Virginia,CT,10361094,114634,-77.43662449,37.34661541,POINT (-77.43662449012265 37.34661541127327)
51,760,70300,1400000US51760070300,51760070300,703,Census Tract 703,VA,Richmond city,Virginia,CT,3539772,0,-77.54217078,37.54069628,POINT (-77.54217078301878 37.54069627815891)
51,41,100821,1400000US51041100821,51041100821,1008.21,Census Tract 1008.21,VA,Chesterfield County,Virginia,CT,63932814,1294683,-77.56965311,37.36559954,POINT (-77.56965311042661 37.36559953963565)
51,145,500101,1400000US51145500101,51145500101,5001.01,Census Tract 5001.01,VA,Powhatan County,Virginia,CT,127380466,1710883,-77.76191667,37.55767063,POINT (-77.76191666760045 37.557670630101285)
51,87,201403,1400000US51087201403,51087201403,2014.03,Census Tract 2014.03,VA,Henrico County,Virginia,CT,24282211,1673340,-77.2683449,37.53480774,POINT (-77.26834490308558 37.53480774307168)
51,41,100819,1400000US51041100819,51041100819,1008.19,Census Tract 1008.19,VA,Chesterfield County,Virginia,CT,9607075,64643,-77.50968155,37.43754339,POINT (-77.5096815461667 37.43754339093621)
