Unnamed: 0,w_tract,h_tract,workers,w_county,h_county,HomeX,HomeY,w_point,GEOIDHome,X,Y,WorkX,WorkY
125,51085320801,51036600200,7,Hanover,Charles City,-77.1088509,37.38383884,POINT (-77.43517463666346 37.72101115161248),51036600200,-77.43517463666346,37.72101115161248,-77.43517464,37.72101115
124,51085320801,51036600100,10,Hanover,Charles City,-77.1917213,37.38472133,POINT (-77.43517463666346 37.72101115161248),51036600100,-77.43517463666346,37.72101115161248,-77.43517464,37.72101115
128,51085320803,51036600200,1,Hanover,Charles City,-77.1088509,37.38383884,POINT (-77.40178469075505 37.67555471967196),51036600200,-77.40178469075505,37.67555471967196,-77.40178469,37.67555472
127,51085320803,51036600100,2,Hanover,Charles City,-77.1917213,37.38472133,POINT (-77.40178469075505 37.67555471967196),51036600100,-77.40178469075505,37.67555471967196,-77.40178469,37.67555472
129,51085320804,51036600100,2,Hanover,Charles City,-77.1917213,37.38472133,POINT (-77.42040307089692 37.68215954056276),51036600100,-77.42040307089692,37.68215954056276,-77.42040307,37.68215954
130,51085320805,51036600200,1,Hanover,Charles City,-77.1088509,37.38383884,POINT (-77.42512267815975 37.66466779619397),51036600200,-77.42512267815975,37.66466779619397,-77.42512268,37.6646678
131,51085320901,51036600100,1,Hanover,Charles City,-77.1917213,37.38472133,POINT (-77.35950463689274 37.65874207463375),51036600100,-77.35950463689274,37.65874207463375,-77.35950464,37.65874207
134,51085320902,51036600300,4,Hanover,Charles City,-76.97673227,37.33100999,POINT (-77.38681578335574 37.63660735964822),51036600300,-77.38681578335574,37.63660735964822,-77.38681578,37.63660736
133,51085320902,51036600200,11,Hanover,Charles City,-77.1088509,37.38383884,POINT (-77.38681578335574 37.63660735964822),51036600200,-77.38681578335574,37.63660735964822,-77.38681578,37.63660736
132,51085320902,51036600100,8,Hanover,Charles City,-77.1917213,37.38472133,POINT (-77.38681578335574 37.63660735964822),51036600100,-77.38681578335574,37.63660735964822,-77.38681578,37.63660736
135,51085321001,51036600200,2,Hanover,Charles City,-77.1088509,37.38383884,POINT (-77.35319381731391 37.62262564206291),51036600200,-77.35319381731391,37.62262564206291,-77.35319382,37.62262564
138,51085321003,51036600300,2,Hanover,Charles City,-76.97673227,37.33100999,POINT (-77.31762179906094 37.62396678660377),51036600300,-77.31762179906094,37.62396678660377,-77.3176218,37.62396679
137,51085321003,51036600200,2,Hanover,Charles City,-77.1088509,37.38383884,POINT (-77.31762179906094 37.62396678660377),51036600200,-77.31762179906094,37.62396678660377,-77.3176218,37.62396679
136,51085321003,51036600100,1,Hanover,Charles City,-77.1917213,37.38472133,POINT (-77.31762179906094 37.62396678660377),51036600100,-77.31762179906094,37.62396678660377,-77.3176218,37.62396679
139,51085321004,51036600300,1,Hanover,Charles City,-76.97673227,37.33100999,POINT (-77.31660950340907 37.651544100252956),51036600300,-77.31660950340907,37.651544100252956,-77.3166095,37.6515441
142,51085321100,51036600300,1,Hanover,Charles City,-76.97673227,37.33100999,POINT (-77.38262891029056 37.61242252069209),51036600300,-77.38262891029056,37.61242252069209,-77.38262891,37.61242252
141,51085321100,51036600200,4,Hanover,Charles City,-77.1088509,37.38383884,POINT (-77.38262891029056 37.61242252069209),51036600200,-77.38262891029056,37.61242252069209,-77.38262891,37.61242252
140,51085321100,51036600100,7,Hanover,Charles City,-77.1917213,37.38472133,POINT (-77.38262891029056 37.61242252069209),51036600100,-77.38262891029056,37.61242252069209,-77.38262891,37.61242252
