,w_tract,workers
1149,51153901012,746
1150,51153901013,1376
1151,51153901014,12641
1152,51153901015,238
1153,51153901016,219
1154,51153901101,758
1155,51153901102,1117
1156,51153901203,847
1157,51153901208,693
1158,51153901209,1195
1159,51153901211,984
1160,51153901212,1036
1161,51153901219,840
1162,51153901221,931
1163,51153901222,38
1164,51153901223,384
1165,51153901224,283
1166,51153901225,601
1167,51153901226,655
1168,51153901227,129
1169,51153901228,356
1170,51153901229,68
1171,51153901230,107
1172,51153901231,1509
1173,51153901232,1094
1174,51153901233,573
1175,51153901234,582
1176,51153901235,294
1177,51153901236,4134
1178,51153901237,140
1179,51153901303,219
1180,51153901304,264
1181,51153901305,511
1182,51153901306,1404
1183,51153901403,3716
1184,51153901407,3507
1185,51153901409,12576
1186,51153901411,1843
1187,51153901412,363
1188,51153901413,103
1189,51153901414,102
1190,51153901415,439
1191,51153901416,705
1192,51153901417,388
1193,51153901418,1446
1194,51153901419,68
1195,51153901420,1644
1196,51153901421,7602
1197,51153901503,2322
1198,51153901504,1394
1199,51153901505,412
1200,51153901506,143
1201,51153901507,1660
1202,51153901508,1132
1203,51153901509,986
1204,51153901510,482
1205,51153901511,499
1206,51153901601,499
1207,51153901602,4478
1208,51153901702,105
1209,51153901703,251
1210,51153901704,1065
1211,51153901900,1088
1212,51153980100,113
1213,51155210101,1928
1214,51155210102,402
1215,51155210201,1702
1216,51155210202,5023
1217,51155210300,1090
1218,51155210401,525
1219,51155210402,97
1220,51155210500,79
1221,51155210600,1382
1222,51155210700,535
1223,51155980200,81
1224,51157950100,726
1225,51157950200,661
1226,51159040100,1833
1227,51159040200,625
1228,51161030100,692
1229,51161030201,3810
1230,51161030203,4463
1231,51161030205,3115
1232,51161030206,1598
1233,51161030207,1452
1234,51161030300,3145
1235,51161030501,541
1236,51161030502,114
1237,51161030601,510
1238,51161030602,93
1239,51161030701,1106
1240,51161030702,2001
1241,51161030802,822
1242,51161030803,4473
1243,51161030804,489
1244,51161030900,2474
1245,51161031000,203
1246,51161031101,2012
1247,51161031102,630
1248,51161031201,448
1249,51161031202,2162
1250,51163930101,1699
1251,51163930102,788
1252,51163930200,506
1253,51163930301,676
1254,51163930302,549
1255,51163930400,1172
1256,51165010100,2225
1257,51165010200,728
1258,51165010301,542
1259,51165010302,152
1260,51165010400,216
1261,51165010500,813
1262,51165010600,1694
1263,51165010700,446
1264,51165010801,922
1265,51165010802,1540
1266,51165010900,336
1267,51165011000,89
1268,51165011100,570
1269,51165011200,632
1270,51165011400,1448
1271,51165011500,3853
1272,51165011600,4527
1273,51165011700,4771
1274,51165011801,242
1275,51165011802,881
1276,51165011900,1826
1277,51165012000,575
1278,51167030100,414
1279,51167030201,80
1280,51167030202,1210
1281,51167030300,238
1282,51167030402,350
1283,51167030403,1536
1284,51167030404,1514
1285,51167030500,138
1286,51167030600,254
1287,51169030100,1310
1288,51169030200,1307
1289,51169030300,131
1290,51169030400,68
1291,51169030500,72
1292,51169030600,613
1293,51171040101,141
1294,51171040102,1407
1295,51171040201,274
1296,51171040202,192
1297,51171040300,409
1298,51171040400,120
1299,51171040501,4206
1300,51171040502,865
1301,51171040600,1455
1302,51171040700,1876
1303,51171040800,1184
1304,51173030100,1019
1305,51173030200,410
1306,51173030301,708
1307,51173030302,1339
1308,51173030400,1032
1309,51173030500,2777
1310,51173030600,1603
1311,51173030701,1448
1312,51173030702,104
1313,51175200100,302
1314,51175200200,134
1315,51175200300,442
1316,51175200401,756
1317,51175200402,1220
1318,51175200500,168
1319,51177020104,637
1320,51177020105,379
1321,51177020106,2250
1322,51177020107,441
1323,51177020108,2576
1324,51177020109,1180
1325,51177020110,111
1326,51177020111,68
1327,51177020112,53
1328,51177020113,250
1329,51177020114,313
1330,51177020201,1769
1331,51177020202,3850
1332,51177020203,314
1333,51177020204,2717
1334,51177020206,1838
1335,51177020207,141
1336,51177020304,2391
1337,51177020305,2503
1338,51177020307,286
1339,51177020308,160
1340,51177020309,4162
1341,51177020311,2002
1342,51177020312,631
1343,51177020313,2412
1344,51177020314,330
1345,51177020315,663
1346,51177020316,436
1347,51177020403,128
1348,51177020404,238
1349,51177020405,149
1350,51177020406,144
1351,51177020407,389
1352,51177020408,37
1353,51179010103,813
1354,51179010105,4773
1355,51179010106,1919
1356,51179010107,124
1357,51179010108,203
1358,51179010201,1754
1359,51179010202,432
1360,51179010205,573
1361,51179010206,1459
1362,51179010210,587
1363,51179010211,649
1364,51179010212,1699
1365,51179010213,62
1366,51179010214,301
1367,51179010215,733
1368,51179010216,2369
1369,51179010217,371
1370,51179010218,1650
1371,51179010219,211
1372,51179010301,254
1373,51179010304,3260
1374,51179010305,2453
1375,51179010306,404
1376,51179010307,7151
1377,51179010308,138
1378,51179010403,201
1379,51179010404,537
1380,51179010405,412
1381,51179010406,1795
1382,51179010502,860
1383,51179010503,273
1384,51179010504,103
1385,51181860100,1534
1386,51181860200,558
1387,51183870100,462
1388,51183870201,975
1389,51183870300,1082
1390,51183870400,493
1391,51185020100,270
1392,51185020200,1007
1393,51185020301,451
1394,51185020302,209
1395,51185020400,796
1396,51185020500,99
1397,51185020600,1790
1398,51185020700,838
1399,51185020800,146
1400,51185020900,1115
1401,51185021000,1623
1402,51185021101,1940
1403,51185021102,1228
1404,51187020101,190
1405,51187020102,66
1406,51187020200,3722
1407,51187020300,521
1408,51187020400,1262
1409,51187020500,3662
1410,51187020601,1516
1411,51187020602,275
1412,51187020700,414
1413,51191010101,1628
1414,51191010102,125
1415,51191010200,693
1416,51191010301,292
1417,51191010302,134
1418,51191010401,170
1419,51191010402,1385
1420,51191010501,2859
1421,51191010502,3732
1422,51191010601,1463
1423,51191010602,1473
1424,51191010700,1302
1425,51191010800,35
1426,51191010900,480
1427,51191011000,653
1428,51193010101,53
1429,51193010102,405
1430,51193010200,1316
1431,51193010300,262
1432,51193010401,255
1433,51193010402,551
1434,51195930700,524
1435,51195930800,227
1436,51195930900,3111
1437,51195931000,292
1438,51195931100,164
1439,51195931200,2072
1440,51195931300,405
